排名,名称,城市,所在地区,所在洲,高度(米),高度(英尺),楼层,落成年份
1,哈里发塔,杜拜, 阿联酋,亚洲,828米,2717英尺,163,2010
2,麦加皇家钟塔饭店,麦加, 沙乌地阿拉伯,亚洲,601米,1971英尺,120,2012
3,世界贸易中心一号大楼,纽约, 美国,北美洲,541米,1776英尺,104,2013
4,台北101,台北, 中华民国,亚洲,508米,1667英尺,101,2004
5,上海环球金融中心,上海, 中国大陆,亚洲,492米,1614英尺,101,2008
6,环球贸易广场,香港, 香港,亚洲,484米,1588英尺,118,2010
7,双峰塔一座,吉隆坡, 马来西亚,亚洲,452米,1483英尺,88,1998
7,双峰塔二座,吉隆坡, 马来西亚,亚洲,452米,1483英尺,88,1998
9,紫峰大厦,南京, 中国大陆,亚洲,450米,1476英尺,89,2009
10,韦莱集团大厦（2009年前称西尔斯大楼）,芝加哥, 美国,北美洲,442米,1451英尺,108,1973
11,京基100,深圳, 中国大陆,亚洲,441米,1440英尺,100,2011
12,广州国际金融中心,广州, 中国大陆,亚洲,438米,1435英尺,103,2010
13,川普国际酒店大厦,芝加哥, 美国,北美洲,423米,1389英尺,98,2009
14,金茂大厦,上海, 中国大陆,亚洲,421米,1380英尺,88,1998
15,公主塔,杜拜, 阿联酋,亚洲,414米,1358英尺,101,2012
16,国际金融中心二期,香港, 香港,亚洲,415米,1352英尺,88,2003
17,阿尔哈姆拉塔,科威特城, 科威特,亚洲,413米,1354英尺,77,2011
18,玛丽娜23大楼,杜拜, 阿联酋,亚洲,395米,1296英尺,89,2012
19,中信广场,广州, 中国大陆,亚洲,391米,1283英尺,80,1997
20,信兴广场,深圳, 中国大陆,亚洲,384米,1260英尺,69,1996
21,帝国大厦,纽约市, 美国,北美洲,381米,1250英尺,102,1931
22,Elite Residence,杜拜, 阿联酋,亚洲,380米,1248英尺,87,2012
23,中环广场,香港, 香港,亚洲,374米,1227英尺,78,1992
24,中银大厦,香港, 香港,亚洲,367米,1205英尺,70,1990
25,美国银行大厦,纽约市, 美国,北美洲,366米,1200英尺,54,2009
