            排序,            电影,            类型,            档期,            场次（万场）,            人次（万人）,            票房（万元）,            发行公司
1,            西游降魔篇,            喜剧/冒险,2.1,74.14,"3,103.79",124603,            华谊兄弟
2,            钢铁侠3,            动作/科幻,5.1,50.7,"1,800.69",74815,            中影
3,            致青春,            爱情/剧情,4.26,57.59,"2,233.56",71777,            光线影业
4,            环太平洋,            动作/科幻,7.31,47.84,"1,727.64",69910,            中影华夏
5,            狄仁杰之神都龙王,            古装/动作,9.28,47.43,"1,503.79",60172,            华谊兄弟
6,            私人定制,            喜剧,12.19,45.63,"1,663.53",58951,            华谊兄弟
7,            中国合伙人,            剧情/励志,5.17,58.55,"1,670.38",53842,            中影
8,            北京遇上西雅图,            爱情/剧情,3.21,49.62,"1,628.16",51921,            安乐影业
9,            小时代,            爱情,6.27,45.15,"1,522.24",48530,            乐视影业
10,            地心引力,            科幻/惊悚,11.2,42.95,"1,053.92",44424,            中影华夏
11,            速度与激情6,            动作,7.26,31.36,14429,40744,            中影华夏
12,            疯狂原始人,            动画,4.2,35.55,"1,087.15",40090,            中影华夏
13,            超人：钢铁之躯,            动作/科幻,6.2,32.75,967.19,39828,            中影华夏
14,            007：大破天幕杀机,            动作/惊悚,1.21,36.77,"1,080.46",37598,            中影华夏
15,            侏罗纪公园3D,            动画,8.2,33.77,902.49,35545,            中影华夏
16,            星际迷航2,            动作/科幻,5.28,35.07,869.27,35230,            中影华夏
17,            新警察故事2013,            动作,12.24,25.44,863.78,34541,            万达影视
18,            雷神2：黑暗世界,            动作,11.8,37.05,883.52,34182,            中影华夏
19,            特种部队2：复仇,            动作/科幻,4.15,32.11,847.35,33925,            中影华夏
20,            霍比特人,            冒险/奇幻,2.21,25.03,713.02,32189,            中影华夏
21,            风暴,            警匪/动作,12.12,31.88,801.6,30914,            安乐影业
22,            富春山居图,            动作/冒险,6.9,30.35,768.5,30013,            中影
23,            小时代2,            爱情,8.8,31.5,950.09,29720,            乐视影业
24,            一代宗师,            传记/动作,1.8,31.79,795.11,28772,            华夏、银都
25,            不二神探,            喜剧/悬疑,6.28,34.08,908.55,28528,            光线影业
26,            厨子戏子痞子,            喜剧/动作,3.28,30.65,857.68,27135,            光线影业
27,            金蝉脱壳,            动作/悬疑,11.4,33.97,807.83,26923,            电广传媒
28,            无人区,            剧情,12.4,35.12,827.69,25909,            星美传媒
29,            金刚狼2,            动作,10.17,33.89,680.22,25405,            中影华夏
30,            扫毒,            动作,11.29,31.49,744.84,23770,            博纳影业
31,            怪兽大学,            动画,8.23,24.82,571.6,21251,            中影华夏
32,            重返地球,            动作/科幻,7.12,24.25,651.91,21159,            中影华夏
