
上映时间,片名,出品公司,全球票房,烂番茄,格式
1989,小美人鱼,迪士尼,2.11亿,92%,手绘
1991,美女与野兽,迪士尼,4.24亿,93%,手绘
1992,阿拉丁,迪士尼,5.04亿,94%,手绘
1994,狮子王,迪士尼,9.87亿,90%,手绘
1995,风中奇缘,迪士尼,3.46亿,56%,手绘
1995,玩具总动员,皮克斯,3.61亿,100%,CG
1998,花木兰,迪士尼,3.04亿,86%,手绘
1998,埃及王子,梦工厂,2.18亿,79%,手绘
1998,虫虫特工队,皮克斯,3.63亿,92%,CG
1998,小蚁雄兵,梦工厂,1.71亿,95%,CG
1999,人猿泰山,迪士尼,4.48亿,88%,手绘
1999,玩具总动员2,皮克斯,4.85亿,100%,CG
2000,恐龙,迪士尼,3.49亿,65%,CG+实景
2001,亚特兰蒂斯：失落的帝国,迪士尼,1.86亿,49%,手绘
2001,怪物史瑞克,梦工厂,4.84亿,88%,CG
2001,怪兽公司,皮克斯,5.62亿,96%,CG
2002,星际宝贝,迪士尼,2.73亿,86%,手绘
2002,星银岛,迪士尼,1.09亿,68%,手绘
2002,冰川时代,蓝天,3.83亿,77%,CG
2003,熊的传说,迪士尼,2.50亿,38%,手绘
2003,海底总动员,皮克斯,9.36亿,99%,CG
2003,辛巴达七海传奇,梦工厂,0.8亿,45%,手绘
2004,牧场是我家,迪士尼,1.03亿,54%,手绘
2004,怪物史瑞克2,梦工厂,9.19亿,89%,CG
2004,鲨鱼故事,梦工厂,3.67亿,36%,CG
2004,超人总动员,皮克斯,6.31亿,97%,CG
2005,鸡仔总动员,迪士尼,3.14亿,36%,CG+3D
2005,马达加斯加,梦工厂,5.32亿,55%,CG
2007,未来小子,迪士尼,1.69亿,66%,CG
2007,美食总动员,皮克斯,6.23亿,96%,CG
2008,闪电狗,迪士尼,3.09亿,88%,CG+3D
2008,功夫熊猫,梦工厂,6.31亿,87%,CG
2008,机器人总动员,皮克斯,5.21亿,96%,CG
2009,公主与青蛙,迪士尼,2.67亿,83%,手绘
2009,飞屋环游记,皮克斯,7.31亿,98%,CG+3D
2009,大战外星人,梦工厂,3.81亿,72%,CG+3D
2009,冰川时代3,蓝天,8.86亿,45%,CG+3D
2010,魔发奇缘,迪士尼,5.91亿,89%,CG+3D
2010,神偷奶爸,照明娱乐,5.43亿,81%,CG+3D
2010,驯龙高手,梦工厂,4.94亿,98%,CG+3D
2010,玩具总动员3,皮克斯,10.6亿,99%,CG+3D
2012,无敌破坏王,迪士尼,4.71亿,86%,CG+3D
2012,勇敢传说,皮克斯,5.38亿,78%,CG+3D
2012,马达加斯加3,梦工厂,7.46亿,79%,CG+3D
2012,冰川时代4,蓝天,8.77亿,37%,CG+3D
2013,冰雪奇缘,迪士尼,8.11亿,89%,CG+3D
2013,疯狂原始人,梦工厂,5.87亿,70%,CG+3D
2013,怪兽大学,皮克斯,7.43亿,78%,CG+3D
2013,神偷奶爸2,照明娱乐,9.64亿,74%,CG+3D
2013,森林战士,蓝天,2.68亿,64%,CG+3D
